Bandit,Reward,Algorithm
790,1,ThompsonSampling
791,1,ThompsonSampling
792,1,ThompsonSampling
793,1,ThompsonSampling
794,1,ThompsonSampling
795,1,ThompsonSampling
796,1,ThompsonSampling
797,1,ThompsonSampling
798,1,ThompsonSampling
799,1,ThompsonSampling
800,1,ThompsonSampling
801,1,ThompsonSampling
802,1,ThompsonSampling
803,1,ThompsonSampling
804,1,ThompsonSampling
805,1,ThompsonSampling
806,1,ThompsonSampling
807,1,ThompsonSampling
808,1,ThompsonSampling
809,1,ThompsonSampling
810,2,ThompsonSampling
811,1,ThompsonSampling
812,1,ThompsonSampling
813,1,ThompsonSampling
814,1,ThompsonSampling
815,1,ThompsonSampling
816,1,ThompsonSampling
817,1,ThompsonSampling
818,1,ThompsonSampling
819,1,ThompsonSampling
820,1,ThompsonSampling
821,1,ThompsonSampling
822,1,ThompsonSampling
823,1,ThompsonSampling
824,1,ThompsonSampling
825,1,ThompsonSampling
826,1,ThompsonSampling
827,1,ThompsonSampling
828,1,ThompsonSampling
829,1,ThompsonSampling
830,1,ThompsonSampling
831,1,ThompsonSampling
832,1,ThompsonSampling
833,1,ThompsonSampling
834,1,ThompsonSampling
835,1,ThompsonSampling
836,1,ThompsonSampling
837,1,ThompsonSampling
838,1,ThompsonSampling
839,1,ThompsonSampling
840,1,ThompsonSampling
841,1,ThompsonSampling
842,1,ThompsonSampling
843,1,ThompsonSampling
844,1,ThompsonSampling
845,1,ThompsonSampling
846,1,ThompsonSampling
847,1,ThompsonSampling
848,1,ThompsonSampling
849,1,ThompsonSampling
850,1,ThompsonSampling
851,1,ThompsonSampling
852,1,ThompsonSampling
853,1,ThompsonSampling
854,1,ThompsonSampling
855,1,ThompsonSampling
856,1,ThompsonSampling
857,1,ThompsonSampling
858,1,ThompsonSampling
859,1,ThompsonSampling
860,1,ThompsonSampling
861,1,ThompsonSampling
862,1,ThompsonSampling
863,1,ThompsonSampling
864,1,ThompsonSampling
865,1,ThompsonSampling
866,1,ThompsonSampling
867,1,ThompsonSampling
868,1,ThompsonSampling
869,1,ThompsonSampling
870,1,ThompsonSampling
871,1,ThompsonSampling
872,1,ThompsonSampling
873,1,ThompsonSampling
874,1,ThompsonSampling
875,1,ThompsonSampling
876,1,ThompsonSampling
877,1,ThompsonSampling
878,1,ThompsonSampling
879,1,ThompsonSampling
880,1,ThompsonSampling
881,1,ThompsonSampling
882,1,ThompsonSampling
883,1,ThompsonSampling
884,1,ThompsonSampling
885,1,ThompsonSampling
886,1,ThompsonSampling
887,1,ThompsonSampling
888,1,ThompsonSampling
889,1,ThompsonSampling
890,1,ThompsonSampling
891,1,ThompsonSampling
892,1,ThompsonSampling
893,1,ThompsonSampling
894,1,ThompsonSampling
895,1,ThompsonSampling
896,1,ThompsonSampling
897,1,ThompsonSampling
898,1,ThompsonSampling
899,1,ThompsonSampling
900,1,ThompsonSampling
901,1,ThompsonSampling
902,1,ThompsonSampling
903,1,ThompsonSampling
904,1,ThompsonSampling
905,1,ThompsonSampling
906,1,ThompsonSampling
907,1,ThompsonSampling
908,1,ThompsonSampling
909,1,ThompsonSampling
910,1,ThompsonSampling
911,1,ThompsonSampling
912,1,ThompsonSampling
913,1,ThompsonSampling
914,1,ThompsonSampling
915,1,ThompsonSampling
916,1,ThompsonSampling
917,1,ThompsonSampling
918,1,ThompsonSampling
919,1,ThompsonSampling
920,1,ThompsonSampling
921,1,ThompsonSampling
922,1,ThompsonSampling
923,1,ThompsonSampling
