Bandit,Reward,Algorithm
748,4,EpsilonGreedy
749,4,EpsilonGreedy
750,4,EpsilonGreedy
751,4,EpsilonGreedy
752,4,EpsilonGreedy
753,4,EpsilonGreedy
754,4,EpsilonGreedy
755,4,EpsilonGreedy
756,4,EpsilonGreedy
757,4,EpsilonGreedy
758,4,EpsilonGreedy
759,4,EpsilonGreedy
760,4,EpsilonGreedy
761,4,EpsilonGreedy
762,4,EpsilonGreedy
763,4,EpsilonGreedy
764,4,EpsilonGreedy
765,4,EpsilonGreedy
766,4,EpsilonGreedy
767,4,EpsilonGreedy
768,4,EpsilonGreedy
769,4,EpsilonGreedy
770,4,EpsilonGreedy
771,4,EpsilonGreedy
772,4,EpsilonGreedy
773,4,EpsilonGreedy
774,4,EpsilonGreedy
775,4,EpsilonGreedy
776,4,EpsilonGreedy
777,4,EpsilonGreedy
778,4,EpsilonGreedy
779,4,EpsilonGreedy
780,4,EpsilonGreedy
781,4,EpsilonGreedy
782,4,EpsilonGreedy
783,4,EpsilonGreedy
784,4,EpsilonGreedy
785,4,EpsilonGreedy
786,4,EpsilonGreedy
787,4,EpsilonGreedy
788,4,EpsilonGreedy
789,4,EpsilonGreedy
790,4,EpsilonGreedy
791,4,EpsilonGreedy
792,4,EpsilonGreedy
793,4,EpsilonGreedy
794,4,EpsilonGreedy
795,4,EpsilonGreedy
796,4,EpsilonGreedy
797,4,EpsilonGreedy
798,4,EpsilonGreedy
799,4,EpsilonGreedy
800,4,EpsilonGreedy
801,4,EpsilonGreedy
802,4,EpsilonGreedy
803,4,EpsilonGreedy
804,4,EpsilonGreedy
805,4,EpsilonGreedy
806,4,EpsilonGreedy
807,4,EpsilonGreedy
808,4,EpsilonGreedy
809,4,EpsilonGreedy
810,4,EpsilonGreedy
811,4,EpsilonGreedy
812,4,EpsilonGreedy
813,4,EpsilonGreedy
814,4,EpsilonGreedy
815,4,EpsilonGreedy
816,4,EpsilonGreedy
817,4,EpsilonGreedy
818,4,EpsilonGreedy
819,4,EpsilonGreedy
820,4,EpsilonGreedy
821,4,EpsilonGreedy
822,4,EpsilonGreedy
823,4,EpsilonGreedy
824,4,EpsilonGreedy
825,4,EpsilonGreedy
826,4,EpsilonGreedy
827,4,EpsilonGreedy
828,4,EpsilonGreedy
829,4,EpsilonGreedy
830,4,EpsilonGreedy
831,4,EpsilonGreedy
832,4,EpsilonGreedy
833,4,EpsilonGreedy
834,4,EpsilonGreedy
835,4,EpsilonGreedy
836,4,EpsilonGreedy
837,4,EpsilonGreedy
838,4,EpsilonGreedy
839,4,EpsilonGreedy
840,4,EpsilonGreedy
841,4,EpsilonGreedy
842,4,EpsilonGreedy
843,4,EpsilonGreedy
844,4,EpsilonGreedy
845,4,EpsilonGreedy
846,4,EpsilonGreedy
847,4,EpsilonGreedy
848,4,EpsilonGreedy
849,4,EpsilonGreedy
850,4,EpsilonGreedy
851,4,EpsilonGreedy
852,4,EpsilonGreedy
853,4,EpsilonGreedy
854,4,EpsilonGreedy
855,4,EpsilonGreedy
856,4,EpsilonGreedy
857,4,EpsilonGreedy
858,4,EpsilonGreedy
859,4,EpsilonGreedy
860,4,EpsilonGreedy
861,4,EpsilonGreedy
862,4,EpsilonGreedy
863,4,EpsilonGreedy
864,4,EpsilonGreedy
865,4,EpsilonGreedy
866,4,EpsilonGreedy
867,4,EpsilonGreedy
868,4,EpsilonGreedy
869,4,EpsilonGreedy
870,4,EpsilonGreedy
871,4,EpsilonGreedy
872,4,EpsilonGreedy
873,4,EpsilonGreedy
874,4,EpsilonGreedy
875,4,EpsilonGreedy
876,4,EpsilonGreedy
877,4,EpsilonGreedy
878,4,EpsilonGreedy
879,4,EpsilonGreedy
880,4,EpsilonGreedy
881,4,EpsilonGreedy
882,4,EpsilonGreedy
883,4,EpsilonGreedy
884,4,EpsilonGreedy
885,4,EpsilonGreedy
886,4,EpsilonGreedy
887,4,EpsilonGreedy
888,4,EpsilonGreedy
889,4,EpsilonGreedy
890,4,EpsilonGreedy
891,4,EpsilonGreedy
892,4,EpsilonGreedy
893,4,EpsilonGreedy
894,4,EpsilonGreedy
895,4,EpsilonGreedy
896,4,EpsilonGreedy
897,4,EpsilonGreedy
898,4,EpsilonGreedy
899,4,EpsilonGreedy
900,4,EpsilonGreedy
901,4,EpsilonGreedy
902,4,EpsilonGreedy
903,4,EpsilonGreedy
904,4,EpsilonGreedy
905,4,EpsilonGreedy
906,4,EpsilonGreedy
907,4,EpsilonGreedy
908,4,EpsilonGreedy
909,4,EpsilonGreedy
910,4,EpsilonGreedy
911,4,EpsilonGreedy
912,4,EpsilonGreedy
913,4,EpsilonGreedy
914,4,EpsilonGreedy
915,4,EpsilonGreedy
916,4,EpsilonGreedy
917,4,EpsilonGreedy
918,4,EpsilonGreedy
919,4,EpsilonGreedy
920,4,EpsilonGreedy
921,4,EpsilonGreedy
922,4,EpsilonGreedy
923,4,EpsilonGreedy
924,4,EpsilonGreedy
925,4,EpsilonGreedy
926,4,EpsilonGreedy
927,4,EpsilonGreedy
928,4,EpsilonGreedy
929,4,EpsilonGreedy
930,4,EpsilonGreedy
931,4,EpsilonGreedy
932,4,EpsilonGreedy
933,4,EpsilonGreedy
934,4,EpsilonGreedy
935,4,EpsilonGreedy
936,4,EpsilonGreedy
937,4,EpsilonGreedy
938,4,EpsilonGreedy
939,4,EpsilonGreedy
940,4,EpsilonGreedy
941,4,EpsilonGreedy
942,4,EpsilonGreedy
943,4,EpsilonGreedy
944,4,EpsilonGreedy
945,4,EpsilonGreedy
946,4,EpsilonGreedy
947,4,EpsilonGreedy
948,4,EpsilonGreedy
949,4,EpsilonGreedy
950,4,EpsilonGreedy
951,4,EpsilonGreedy
952,4,EpsilonGreedy
953,4,EpsilonGreedy
954,4,EpsilonGreedy
955,4,EpsilonGreedy
956,4,EpsilonGreedy
957,4,EpsilonGreedy
